		Веса	0.25	0.25	0.25	0.25	1	1	1	1	1				
															
Aproach	Description 	Key players	Speed (Diffs per engineer* (PRs or MRs)	Effectiveness (Developer Experience Index)	Quality (Change failure rate)	JTBD Impact (time spent diff)	Cost for dev	Transperacy	Покрытие полного цикла SDLC	Mass adoption friction	Monetization opportunity	Impact total	Efforts	Confindence	Score
Baseline "as is": Human in the loop	IDE-агент пишет \ дополняет код с учетом контекста, промпта и инструкций, но изменения подтверждает разработчик.	GitHub Copilot (https://github.com/features/copilot), Tabnine (https://www.tabnine.com/), Amazon Q Developer (https://aws.amazon.com/q/developer/), Gemini Code Assist (https://developers.google.com/gemini-code-assist/docs/overview), Cursor (https://cursor.com/), Windsurf Editor (https://windsurf.com/editor), JetBrains AI Assistant (https://www.jetbrains.com/ai-assistant/)	1	1	3	1	3	1	3	1	1	1.8	1	1	-
Spec-driven development	Сначала формируется спецификация поведения, затем AI генерирует реализацию и проверки из контракта, снижая двусмысленность требований. Спека становится артефактом для review и регрессий, что повышает предсказуемость изменений.	Kiro (https://kiro.dev/), Spec Kit (https://speckit.org/), CodeSpeak (https://codespeak.dev/), Taskmaster (https://www.task-master.dev/), BMAD (https://docs.bmad-method.org/)	2	2	2	2	2	3	2	2	2	2.2	2	3	3.3
Трассировка. Observability + evals (datasets, harness, replay)	Трассировка фиксирует inputs/outputs, шаги агента, latency и стоимость, а evals измеряют качество на датасетах и через LLM-as-judge. Это позволяет ловить деградации до релиза и быстро разбирать инциденты в проде.	LangSmith (https://docs.langchain.com/langsmith/home), W&B Weave (https://docs.wandb.ai/weave), Datadog LLM Observability (https://www.datadoghq.com/product/llm-observability/), Galileo (https://galileo.ai/), Ragas (https://docs.ragas.io/), TruLens (https://github.com/truera/trulens), DeepEval (https://github.com/confident-ai/deepeval), Braintrust (https://www.braintrust.dev/docs)	2	2	2	2	2	3	2	1	2	2.0	2	3	3.0
Last mile quality gates (schema/guardrails + tests/CI)	Guardrails добавляют программируемые проверки на входе и выходе, включая контроль тем и фильтрацию рисков. Жесткая валидация структурированных ответов по JSON Schema снижает шанс получить невалидные или неполные данные.	Guardrails AI (https://github.com/guardrails-ai/guardrails), NVIDIA NeMo Guardrails (https://docs.nvidia.com/nemo-guardrails/index.html), OpenAI Structured Outputs (https://developers.openai.com/api/docs/guides/structured-outputs/), Diffblue Cover (https://www.diffblue.com/diffblue-cover/), Keploy (https://keploy.io/), pytest (https://docs.pytest.org/), JUnit (https://junit.org/)	2	2	2	2	2	1	1	2	2	1.7	2	3	2.5
Last mile: Security & compliance guardrails	Статический анализ и поиск уязвимостей находят классы ошибок независимо от того, создан код человеком или AI. Приоритизация, подавление шума и автофиксы ускоряют закрытие рисков без потери контроля.	Snyk Code (https://snyk.io/product/snyk-code/), Semgrep (https://semgrep.dev/), CodeQL (https://codeql.github.com/docs/), Lakera Guard (https://www.lakera.ai/lakera-guard), Holistic AI (https://www.holisticai.com/), Protect AI (https://protectai.com/), HiddenLayer (https://www.hiddenlayer.com/)	2	2	2	2	2	1	1	1	2	1.5	2	3	2.3
Last mile: AI code reviewer	AI анализирует diff и контекст репозитория, находит проблемы и несоответствия стандартам, формирует подсказки и summary.	Qodo (https://www.qodo.ai/), CodeRabbit (https://coderabbit.ai/), PR-Agent (https://github.com/qodo-ai/pr-agent)	2	2	2	2	2	2	3	2	2	2.2	2	2	2.2
AI‑driven task orchestration	Он берёт созданные тобой задачи и подзадачи в канбан‑борде, даёт им AI‑контекст, позволяет запускать на них разных кодинг‑агентов, а затем автоматически связывает их изменения в коде, PR и статусы issue в один управляемый поток разработки	Vibe Kanban (https://vibekanban.com/)	2	2	2	2	2	2	2	2	2	2.0	2	2	2.0
Строго детерменированный ответ от LLM с валидацией ответа	Модель должна вернуть строго валидируемую структуру, иначе шаг повторяется или исправляется	PydanticAI (https://ai.pydantic.dev/), Instructor (https://github.com/567-labs/instructor), Outlines (https://github.com/dottxt-ai/outlines)	2	2	2	2	2	3	1	1	2	1.8	2	1	0.9
Human-Freeelancer in the loop	IDE-агент пишет \ дополняет код с учетом контекста, промпта и инструкций, но изменения подтверждает фрилансер-эксперт.	Tendem (https://tendem.ai/)	2	2	2	2	2	1	2	2	2	1.8	2	1	0.9
